#iter	avgavgE	devavgE	maxAvgE	minAvgE	# gossipLearning.controls.observers.errorComputation.VotedErrorComputator[NumOfVotes]	[HolderIndex]
20	0.5011111111111111	0.11204606636403752	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
21	0.43555555555555514	0.1285051759537878	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
21	0.43999999999999984	0.17625738755203077	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
21	0.5133333333333334	0.12310790208412849	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
22	0.4633333333333329	0.1015983376941899	0.6	0.1	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
22	0.4455555555555554	0.17330840276552048	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
22	0.5244444444444446	0.12139111363331097	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
23	0.4544444444444441	0.1221666540346629	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
23	0.4377777777777777	0.1810940687278164	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
23	0.5244444444444446	0.1593815206848088	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
24	0.4455555555555553	0.13917304265722338	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
24	0.4422222222222221	0.18256066132036342	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
24	0.5	0.15275252316519425	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
25	0.4488888888888886	0.13436636851405398	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
25	0.4533333333333332	0.17074997966487618	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
25	0.49888888888888894	0.15810997891372516	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
26	0.4488888888888886	0.12404698432847089	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.P2Pegasos
26	0.42999999999999994	0.19000000000000006	0.6	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.LogisticRegression
26	0.4811111111111111	0.15340175607023557	1.0	0.0	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.VotedErrorComputator[0]	gossipLearning.models.AdalinePerceptron
